teamId,playerId,playerName,Position,Age,Id
0,296240,Yoane Wissa,FWD,0,292
0,298689,Vitaly Janelt,MID,0,293
189,318744,Josh Dasilva,MID,28,294
0,320575,Saman Ghoddos,AM,0,295
189,321085,Kristoffer Ajer,DEF,26,296
189,329554,Mads Roerslev,DEF,26,297
189,339674,Mathias Jensen,MID,36,298
189,342499,Ethan Pinnock,DEF,29,299
189,346304,Mads Bech,DEF,30,300
189,353377,Bryan Mbeumo,FWD,23,301
0,362124,Shandon Baptiste,MID,0,302
189,368512,Keane Lewis-Potter,AM,32,303
189,401168,Mikkel Damsgaard,AM,24,304
189,402367,Aaron Hickey,DEF,21,305
189,404109,Frank Onyeka,MID,28,306
189,407260,Kevin Schade,AM,30,307
189,94935,Ben Mee,DEF,22,308
0,109670,Patrick Bamford,FWD,0,309
19,123232,Diego Llorente,DEF,27,310
0,276205,Robin Koch,DEF,0,311
19,301024,Maximilian Wober,DEF,26,312
19,302313,Daniel James,AM,28,313
0,302812,Rasmus Kristensen,DEF,0,314
0,315275,Tyler Adams,MID,0,315
19,317896,Jack Harrison,AM,25,316
19,323148,Marc Roca,MID,31,317
0,338275,Weston McKennie,MID,0,318
19,351252,Junior Firpo,DEF,31,319
0,355609,Pascal Struijk,DEF,0,320
19,361879,Luis Sinisterra,AM,30,321
19,362192,Joe Gelhardt,MID,27,322
19,362433,Georginio Rutter,AM,33,323
19,371012,Brenden Aaronson,AM,23,324
19,380580,Illan Meslier,GK,28,325
19,382564,Crysencio Summerville,AM,27,326
0,409078,Sam Greenwood,AM,0,327
0,439636,Wilfried Gnonto,AM,0,328
19,44148,Liam Cooper,DEF,29,329
19,443569,Darko Gyabi,MID,31,330
19,463233,Mateo Joseph,FWD,26,331
19,69638,Mateusz Klich,MID,24,332
19,81681,Joel Robles,GK,30,333
19,82877,Luke Ayling,DEF,27,334
19,82972,Adam Forshaw,MID,32,335
0,83459,Rodrigo,FWD,0,336
211,109922,Adam Webster,DEF,28,337
211,110290,Joel Veltman,DEF,21,338
211,113994,Leandro Trossard,AM,27,339
0,122926,Solly March,AM,0,340
211,21683,Adam Lallana,MID,35,341
0,298694,Pervis Estupinan,DEF,0,342
211,33532,Jason Steele,GK,20,343
211,345319,Alexis Mac Allister,MID,24,344
211,353191,Enock Mwepu,MID,27,345
211,357091,Deniz Undav,FWD,28,346
0,362151,Robert Sanchez,GK,0,347
211,365402,Jan Paul van Hecke,DEF,26,348
211,381255,Billy Gilmour,MID,32,349
0,386979,Tariq Lamptey,DEF,0,350
211,39308,Danny Welbeck,FWD,25,351
0,410175,Moises Caicedo,MID,0,352
211,417747,Julio Enciso,AM,22,353
211,421351,Levi Colwill,DEF,32,354
211,423720,Evan Ferguson,FWD,20,355
211,425142,Kaoru Mitoma,AM,25,356
211,425603,Jeremy Sarmiento,AM,24,357
211,432384,Facundo Buonanotte,AM,19,358
0,71824,Pascal Gross,AM,0,359
211,86441,Lewis Dunk,DEF,19,360
23,100599,Emil Krafth,DEF,25,361
23,105171,Jamaal Lascelles,DEF,26,362
0,105720,Nick Pope,GK,0,363
23,109227,Javier Manquillo,DEF,23,364
23,134115,Callum Wilson,FWD,21,365
23,135891,Allan Saint-Maximin,AM,26,366
23,136776,Matt Targett,DEF,31,367
23,141486,Jacob Murphy,AM,28,368
23,201755,Joelinton,AM,29,369
23,299254,Alexander Isak,FWD,24,370
23,303924,Miguel Almiron,AM,25,371
23,338780,Bruno Guimaraes,MID,29,372
23,342563,Joe Willock,MID,26,373
0,342811,Sean Longstaff,MID,0,374
23,349669,Anthony Gordon,AM,22,375
23,350138,Jamal Lewis,DEF,31,376
0,379732,Sven Botman,DEF,0,377
23,40027,Jonjo Shelvey,MID,24,378
23,402596,Elliot Anderson,AM,44,379
23,46092,Martin Dubravka,GK,20,380
23,474264,Lewis Miley,MID,24,381
23,68648,Matt Ritchie,DEF,25,382
23,73380,Chris Wood,FWD,28,383
23,82277,Dan Burn,DEF,20,384
23,82726,Fabian Schar,DEF,28,385
23,83078,Kieran Trippier,DEF,25,386
0,93160,Ryan Fraser,AM,0,387
24,102248,Emiliano Martinez,GK,28,388
24,109807,Bertrand Traore,FWD,28,389
0,115508,Morgan Sanson,MID,0,390
0,123167,Tyrone Mings,DEF,0,391
24,124106,Leander Dendoncker,MID,30,392
24,124316,Calum Chambers,DEF,30,393
24,135374,Alex Moreno,DEF,30,394
